date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:38	297/297	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20May%202024%2009:31:38%20GMT	http://192.168.1.5/robots.txt		(from )
11:31:40	158294/158294	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20May%202024%2009:31:38%20GMT	http://192.168.1.5/dspdjelfa/	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/index.html	(from )
11:31:40	42877/42877	---M--	200	added ('OK')	text/css	etag:%22a77d-613aeb2c8b840%22	http://192.168.1.5/dspdjelfa/wp-content/themes/astra/assets/css/minified/main.min-rtl.css?ver=4.6.8	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/themes/astra/assets/css/minified/main.min-rtla2c7.css	(from http://192.168.1.5/dspdjelfa/)
11:31:40	3501/3501	---M--	200	added ('OK')	text/css	etag:%22dad-613aeb2c8b840%22	http://192.168.1.5/dspdjelfa/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=4.6.8	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/themes/astra/assets/css/minified/menu-animation.mina2c7.css	(from http://192.168.1.5/dspdjelfa/)
11:31:41	246/246	---M--	200	added ('OK')	text/css	etag:%22f6-613c3bdf897c0%22	http://192.168.1.5/dspdjelfa/wp-content/plugins/table-addons-for-elementor/public/css/table-addons-for-elementor-public.css?ver=1.4.0	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/plugins/table-addons-for-elementor/public/css/table-addons-for-elementor-public2fca.css	(from http://192.168.1.5/dspdjelfa/)
11:31:41	881/881	---M--	200	added ('OK')	application/rss+xml	etag:%22d4cbeaed14e2cadf20ba88976bf5efb7%22	http://192.168.1.5/dspdjelfa/feed/	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/feed/index.html	(from http://192.168.1.5/dspdjelfa/)
11:31:41	118635/118635	---M--	200	added ('OK')	text/css	etag:%221cf6b-613b178050d00%22	http://192.168.1.5/dspdjelfa/wp-content/plugins/elementor/assets/css/frontend-lite-rtl.min.css?ver=3.20.1	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/plugins/elementor/assets/css/frontend-lite-rtl.min78fb.css	(from http://192.168.1.5/dspdjelfa/)
11:31:43	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-613b178daac80%22	http://192.168.1.5/dspdjelfa/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://192.168.1.5/dspdjelfa/)
11:31:43	791/791	---M--	200	added ('OK')	application/rss+xml	etag:%22d4cbeaed14e2cadf20ba88976bf5efb7%22	http://192.168.1.5/dspdjelfa/comments/feed/	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/comments/feed/index.html	(from http://192.168.1.5/dspdjelfa/)
11:31:43	1108/1108	---M--	200	added ('OK')	text/css	etag:%22454-613b30a2c19c0%22	http://192.168.1.5/dspdjelfa/wp-content/uploads/elementor/css/post-50.css?ver=1710509551	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/uploads/elementor/css/post-5081cd.css	(from http://192.168.1.5/dspdjelfa/)
11:31:43	9475/9475	---M--	200	added ('OK')	text/css	etag:%222503-613b31898ba40%22	http://192.168.1.5/dspdjelfa/wp-content/uploads/elementor/css/global.css?ver=1710509793	C:/My%20Web%20Sites/Dsp/192.168.1.5/dspdjelfa/wp-content/uploads/elementor/css/global871b.css	(from http://192.168.1.5/dspdjelfa/)
